Route,Point,Date,Time,Cloud.Cover,Temperature,Wind.Speed,Disturbance,Precipitation,replicate
51,9,3/14/2020,9:09,85,10.6,1,1,None,1
51,10,3/14/2020,9:21,95,10.6,0,2,None,1
51,11,3/14/2020,9:34,85,10.6,1,1,None,1
51,12,3/14/2020,9:47,100,10.6,0,1,None,1
51,13,3/14/2020,10:00,100,10.6,1,1,None,1
51,14,3/14/2020,10:10,100,10.6,0,1,None,1
19,1,3/15/2020,7:18,100,12.8,4,1,None,1
19,2,3/15/2020,7:30,100,12.8,4,1,None,1
19,3,3/15/2020,7:42,100,12.8,4,2,None,1
19,4,3/15/2020,7:55,100,12.8,4,2,Lt. Rain,1
19,5,3/15/2020,8:10,100,12.8,4,2,Lt. Rain,1
19,6,3/15/2020,8:26,100,12.8,2,2,Lt. Rain,1
19,7,3/15/2020,8:50,100,13.9,3,2,Lt. Rain,1
19,8,3/15/2020,9:15,100,13.9,3,1,Lt. Rain,1
40,1,3/15/2020,7:22,100,12.8,0,1,None,1
40,2,3/15/2020,7:35,100,13.9,0,3,None,1
40,3,3/15/2020,7:47,100,14.4,1,1,None,1
40,4,3/15/2020,8:01,100,14.4,1,1,None,1
40,5,3/15/2020,8:22,100,13.9,0,3,Lt. Rain,1
40,6,3/15/2020,8:34,100,14.4,1,3,Lt. Rain,1
40,7,3/15/2020,8:49,100,13.9,0,3,Lt. Rain,1
40,8,3/15/2020,9:00,100,13.9,1,1,Lt. Rain,1
40,9,3/15/2020,9:16,100,12.8,3,1,Lt. Rain,1
40,10,3/15/2020,9:30,100,12.8,1,1,Lt. Rain,1
40,11,3/15/2020,9:44,100,12.8,1,1,Lt. Rain,1
53,1,3/16/2020,7:12,100,7.8,1,1,Lt. Rain,1
53,2,3/16/2020,7:24,100,7.8,3,1,Lt. Rain,1
53,3,3/16/2020,7:36,100,7.8,1,2,Lt. Rain,1
53,4,3/16/2020,7:48,100,7.8,1,1,Lt. Rain,1
53,5,3/16/2020,8:00,100,7.8,1,2,Lt. Rain,1
53,6,3/16/2020,8:17,100,7.8,0,1,Rain,1
53,7,3/16/2020,8:35,100,7.8,0,2,Rain,1
53,8,3/16/2020,8:58,100,7.8,0,1,Lt. Rain,1
118,1,3/16/2020,7:16,100,8.9,1,2,None,1
118,2,3/16/2020,7:29,100,8.9,1,2,None,1
118,3,3/16/2020,7:41,100,11.1,2,1,None,1
118,4,3/16/2020,7:53,100,11.1,3,2,None,1
118,5,3/16/2020,8:05,100,10.0,2,2,None,1
118,6,3/16/2020,8:17,100,10.0,2,2,None,1
118,7,3/16/2020,8:35,100,10.0,2,1,None,1
118,8,3/16/2020,8:48,100,10.0,2,1,None,1
118,9,3/16/2020,9:01,100,10.0,1,1,None,1
118,10,3/16/2020,9:21,100,10.0,1,1,None,1
14,1,3/17/2020,7:13,100,8.9,0,1,Lt. Rain,1
14,2,3/17/2020,7:27,100,8.9,0,2,Lt. Rain,1
14,3,3/17/2020,7:40,100,8.9,0,1,Lt. Rain,1
14,4,3/17/2020,7:52,100,8.9,1,2,Lt. Rain,1
14,5,3/17/2020,8:05,100,8.9,0,4,None,1
14,6,3/17/2020,8:17,100,9.4,0,2,None,1
14,7,3/17/2020,8:27,100,10.0,0,2,None,1
14,8,3/17/2020,8:41,100,10.0,0,1,None,1
14,9,3/17/2020,8:54,100,10.0,1,1,None,1
70,1,3/17/2020,7:13,100,10.0,0,1,Lt. Rain,1
70,2,3/17/2020,7:31,100,10.0,0,2,Lt. Rain,1
70,3,3/17/2020,7:46,100,10.0,1,2,Lt. Rain,1
70,4,3/17/2020,8:01,100,10.0,1,3,Lt. Rain,1
70,5,3/17/2020,8:31,100,10.0,0,2,None,1
70,6,3/17/2020,8:46,100,11.1,0,4,None,1
70,7,3/17/2020,9:00,100,11.7,0,2,None,1
70,8,3/17/2020,9:12,100,11.7,2,1,Lt. Rain,1
70,9,3/17/2020,9:29,100,11.7,4,1,Rain,1
85,11,3/18/2020,NA,100,12.2,NA,NA,None,1
99,1,3/18/2020,7:11,90,8.9,1,2,None,1
99,2,3/18/2020,7:24,85,8.9,2,1,None,1
99,3,3/18/2020,7:37,95,8.9,1,1,None,1
99,4,3/18/2020,7:50,60,8.9,2,1,None,1
99,5,3/18/2020,8:03,70,8.9,1,2,None,1
99,6,3/18/2020,8:17,60,8.3,0,1,None,1
99,7,3/18/2020,8:33,50,8.9,2,1,None,1
99,8,3/18/2020,8:47,45,9.4,1,1,None,1
99,9,3/18/2020,9:00,80,9.4,0,1,None,1
99,10,3/18/2020,9:15,95,10.0,2,1,None,1
99,11,3/18/2020,9:37,75,10.0,0,1,None,1
99,12,3/18/2020,9:58,25,10.6,1,2,None,1
116,1,3/18/2020,7:16,100,10.0,4,1,None,1
116,2,3/18/2020,7:35,90,12.8,2,1,None,1
116,3,3/18/2020,7:54,60,12.8,0,1,None,1
116,4,3/18/2020,8:07,75,12.8,1,1,None,1
116,5,3/18/2020,8:20,85,12.8,0,1,None,1
116,6,3/18/2020,8:32,80,12.8,1,2,None,1
116,7,3/18/2020,8:53,60,12.8,2,1,None,1
116,8,3/18/2020,9:06,40,12.8,0,1,None,1
116,9,3/18/2020,9:20,30,12.8,0,1,None,1
116,10,3/18/2020,9:41,85,12.8,1,1,None,1
116,11,3/18/2020,9:57,100,13.9,0,1,None,1
116,12,3/18/2020,10:20,90,14.4,1,1,None,1
116,13,3/18/2020,10:41,100,14.4,2,1,None,1
256,1,3/18/2020,7:12,100,9.4,0,4,None,1
256,2,3/18/2020,7:24,90,10.0,1,4,None,1
256,3,3/18/2020,7:37,25,10.6,1,4,None,1
256,4,3/18/2020,7:50,35,10.6,0,4,None,1
256,5,3/18/2020,8:05,80,11.1,1,5,None,1
256,6,3/18/2020,8:20,90,11.7,1,5,None,1
256,7,3/18/2020,8:34,45,12.2,1,5,None,1
256,8,3/18/2020,8:47,15,12.2,1,4,None,1
256,9,3/18/2020,9:01,20,12.8,0,4,None,1
256,10,3/18/2020,9:15,55,12.8,1,3,None,1
256,11,3/18/2020,9:27,60,13.3,2,1,None,1
3,1,3/19/2020,7:30,50,13.9,1,NA,None,1
3,2,3/19/2020,7:38,50,13.9,1,NA,None,1
3,3,3/19/2020,7:46,50,13.9,1,NA,None,1
3,4,3/19/2020,7:52,40,13.9,1,NA,None,1
3,5,3/19/2020,8:01,30,13.9,1,NA,None,1
3,6,3/19/2020,8:11,30,14.4,0,NA,None,1
3,7,3/19/2020,8:19,10,14.4,0,NA,None,1
3,8,3/19/2020,8:30,30,15.0,0,4,None,1
3,9,3/19/2020,8:41,10,15.6,0,NA,None,1
3,10,3/19/2020,8:52,30,15.6,1,NA,None,1
3,11,3/19/2020,9:03,10,16.1,1,NA,None,1
77,1,3/19/2020,7:08,100,13.9,0,2,None,1
77,2,3/19/2020,7:26,100,13.9,1,2,None,1
77,3,3/19/2020,7:41,100,13.9,0,2,None,1
77,4,3/19/2020,7:55,100,13.9,0,5,None,1
77,5,3/19/2020,8:09,100,14.4,0,5,None,1
77,6,3/19/2020,8:24,100,14.4,2,4,None,1
77,7,3/19/2020,8:39,85,15.0,0,4,None,1
77,8,3/19/2020,8:58,75,15.6,0,2,None,1
77,9,3/19/2020,9:13,50,15.6,0,1,None,1
77,10,3/19/2020,9:35,55,16.1,0,1,None,1
194,1,3/19/2020,7:49,100,15.0,2,5,None,1
194,2,3/19/2020,8:03,100,15.0,2,5,None,1
194,3,3/19/2020,8:12,100,15.0,2,5,None,1
194,4,3/19/2020,8:20,100,15.0,2,NA,None,1
194,5,3/19/2020,8:29,100,15.0,2,5,None,1
194,6,3/19/2020,8:37,100,15.0,2,5,None,1
194,7,3/19/2020,8:45,100,15.0,2,5,None,1
194,8,3/19/2020,8:54,100,15.0,2,5,None,1
194,9,3/19/2020,9:02,100,15.0,2,5,None,1
194,10,3/19/2020,9:10,100,15.0,2,3,None,1
283,1,3/19/2020,7:11,100,15.0,0,2,None,1
283,2,3/19/2020,7:24,100,15.0,1,5,None,1
283,3,3/19/2020,7:36,100,15.0,0,5,None,1
283,4,3/19/2020,7:50,100,15.0,1,5,None,1
283,5,3/19/2020,8:03,100,14.4,0,5,None,1
283,6,3/19/2020,8:15,100,15.0,0,5,None,1
283,7,3/19/2020,8:27,100,15.0,0,4,None,1
283,8,3/19/2020,8:47,100,15.6,0,1,None,1
283,9,3/19/2020,9:05,100,15.6,0,3,None,1
20,1,3/20/2020,7:08,5,17.8,0,3,None,1
20,2,3/20/2020,7:22,10,17.8,2,2,None,1
20,3,3/20/2020,7:35,15,17.8,1,2,None,1
20,4,3/20/2020,7:47,35,17.8,0,2,None,1
20,5,3/20/2020,8:00,30,17.8,1,3,None,1
20,6,3/20/2020,8:12,45,17.8,2,2,None,1
20,7,3/20/2020,8:26,40,17.8,1,3,None,1
20,8,3/20/2020,8:54,45,17.8,0,3,None,1
20,9,3/20/2020,9:13,35,18.3,0,2,None,1
20,10,3/20/2020,9:32,25,18.9,1,3,None,1
20,11,3/20/2020,9:58,40,19.4,2,2,None,1
20,12,3/20/2020,10:19,40,19.4,2,1,None,1
42,1,3/20/2020,7:12,15,13.3,2,1,None,1
42,2,3/20/2020,7:27,25,13.3,2,1,None,1
42,3,3/20/2020,7:43,15,13.3,2,1,None,1
42,4,3/20/2020,7:56,40,13.3,1,3,None,1
42,5,3/20/2020,8:09,45,14.4,2,2,None,1
42,6,3/20/2020,8:22,55,15.0,1,2,None,1
42,7,3/20/2020,8:34,55,15.0,0,3,None,1
42,8,3/20/2020,8:46,60,15.0,0,3,None,1
42,9,3/20/2020,8:59,55,15.0,0,2,None,1
42,10,3/20/2020,9:13,25,15.6,3,2,None,1
42,11,3/20/2020,9:25,45,15.6,0,3,None,1
112,1,3/20/2020,7:20,50,16.1,0,1,None,1
112,2,3/20/2020,7:37,50,16.1,0,1,None,1
112,3,3/20/2020,NA,50,16.1,0,1,None,1
112,4,3/20/2020,NA,50,16.1,0,1,None,1
112,5,3/20/2020,NA,50,15.6,0,3,None,1
112,6,3/20/2020,8:11,50,16.1,0,1,None,1
112,7,3/20/2020,8:30,50,16.1,0,1,None,1
112,8,3/20/2020,8:42,50,16.1,0,1,None,1
112,9,3/20/2020,9:00,50,16.1,0,1,None,1
112,10,3/20/2020,9:17,70,16.1,0,1,None,1
165,1,3/20/2020,7:13,10,16.7,0,0,None,1
165,2,3/20/2020,7:29,10,16.7,0,0,None,1
165,3,3/20/2020,7:42,10,16.7,0,0,None,1
165,4,3/20/2020,7:58,10,16.7,0,0,None,1
165,5,3/20/2020,8:20,10,16.1,0,0,None,1
165,6,3/20/2020,8:37,40,16.1,0,0,None,1
165,7,3/20/2020,8:50,90,16.7,0,0,None,1
165,8,3/20/2020,9:10,100,16.7,1,0,None,1
165,9,3/20/2020,9:25,100,17.2,1,0,None,1
165,10,3/20/2020,9:45,100,17.2,0,1,None,1
165,11,3/20/2020,10:05,100,17.2,2,1,None,1
165,12,3/20/2020,10:18,100,17.2,2,1,None,1
182,1,3/20/2020,7:08,15,13.9,1,2,None,1
182,2,3/20/2020,7:21,20,13.9,2,3,None,1
182,3,3/20/2020,7:34,15,15.6,2,1,None,1
182,4,3/20/2020,7:47,40,15.6,2,2,None,1
182,5,3/20/2020,7:59,40,15.6,1,1,None,1
182,6,3/20/2020,8:12,40,15.6,1,1,None,1
182,7,3/20/2020,8:27,50,15.6,1,2,None,1
182,8,3/20/2020,8:39,35,15.6,2,2,None,1
182,9,3/20/2020,8:50,25,15.6,1,1,None,1
183,1,3/22/2020,7:05,90,7.8,3,1,None,1
183,2,3/22/2020,7:18,100,7.8,4,1,None,1
183,3,3/22/2020,7:32,100,10.0,3,2,None,1
183,4,3/22/2020,7:47,100,11.1,2,2,None,1
183,5,3/22/2020,8:01,100,11.1,4,1,None,1
183,6,3/22/2020,8:14,100,11.1,4,2,None,1
183,7,3/22/2020,8:30,100,11.1,3,2,None,1
183,8,3/22/2020,8:45,100,11.1,4,1,None,1
252,1,3/22/2020,7:08,90,7.8,1,1,None,1
252,2,3/22/2020,7:21,100,7.8,1,2,None,1
252,3,3/22/2020,7:38,100,7.8,1,2,None,1
252,4,3/22/2020,7:49,100,8.3,0,3,None,1
252,5,3/22/2020,8:02,100,9.4,0,1,None,1
252,6,3/22/2020,8:14,100,10.0,2,1,None,1
252,7,3/22/2020,8:31,100,10.0,1,1,None,1
252,8,3/22/2020,8:46,100,10.0,0,1,None,1
252,9,3/22/2020,8:57,100,10.6,1,1,None,1
252,10,3/22/2020,9:09,100,10.0,1,2,None,1
49,1,3/24/2020,7:01,100,8.9,2,1,None,1
49,2,3/24/2020,7:14,100,8.9,1,1,None,1
49,3,3/24/2020,7:27,100,8.9,1,1,Lt. Rain,1
49,4,3/24/2020,7:49,100,10.0,1,1,None,1
49,5,3/24/2020,8:01,100,11.1,0,2,None,1
49,6,3/24/2020,8:14,100,10.6,0,1,Lt. Rain,1
49,7,3/24/2020,8:38,100,10.0,1,1,Lt. Rain,1
49,8,3/24/2020,8:56,95,10.0,2,1,Lt. Rain,1
49,9,3/24/2020,9:12,95,10.0,1,2,Lt. Rain,1
130,1,3/24/2020,7:01,95,9.4,1,2,None,1
130,2,3/24/2020,7:17,85,10.0,0,2,None,1
130,3,3/24/2020,7:30,75,10.0,1,3,None,1
130,4,3/24/2020,7:43,100,10.6,2,3,None,1
130,5,3/24/2020,7:55,100,10.6,1,2,None,1
130,6,3/24/2020,8:06,100,10.6,0,3,None,1
130,7,3/24/2020,8:20,100,10.6,1,1,Lt. Rain,1
130,8,3/24/2020,8:34,100,10.6,1,1,None,1
254,1,3/24/2020,7:04,100,11.1,0,2,None,1
